Answer,Score,First Guess,Second Guess,Third Guess,Fourth Guess,Fifth Guess,Sixth Guess
gland,3,salet,along,gland,,,
madly,3,salet,badly,madly,,,
awash,4,salet,arson,abyss,awash,,
spare,4,salet,scare,share,spare,,
barge,3,salet,badge,barge,,,
clank,6,salet,along,flank,plank,blank,clank
satin,2,salet,satin,,,,
flail,5,salet,along,flack,flair,flail,
bless,3,salet,flesh,bless,,,
hydro,4,salet,brick,horny,hydro,,
fixer,4,salet,bicep,diner,fixer,,
dully,5,salet,filmy,bulky,pulpy,dully,
drank,4,salet,adorn,brand,drank,,
sooty,3,salet,sixth,sooty,,,
cagey,3,salet,baker,cagey,,,
stock,3,salet,sixth,stock,,,
afoul,3,salet,along,afoul,,,
briar,4,salet,adorn,graph,briar,,
cheat,3,salet,adept,cheat,,,
drama,4,salet,adorn,braid,drama,,
lipid,4,salet,blimp,pupil,lipid,,
brown,3,salet,brick,brown,,,
sandy,2,salet,sandy,,,,
baler,2,salet,baler,,,,
afoul,3,salet,along,afoul,,,
fresh,3,salet,chose,fresh,,,
hippo,4,salet,brick,dingo,hippo,,
cramp,4,salet,adorn,graph,cramp,,
axiom,3,salet,adorn,axiom,,,
press,4,salet,chose,dress,press,,
fried,4,salet,bicep,grief,fried,,
chant,3,salet,abort,chant,,,
basal,2,salet,basal,,,,
minus,3,salet,bison,minus,,,
parry,5,salet,bacon,dairy,marry,parry,
abase,3,salet,abuse,abase,,,
decal,4,salet,agile,bleak,decal,,
agony,3,salet,adorn,agony,,,
clear,4,salet,agile,bleak,clear,,
knoll,4,salet,blimp,could,knoll,,
admin,3,salet,adorn,admin,,,
eager,6,salet,baker,caper,gamer,wager,eager
slate,2,salet,slate,,,,
poppy,5,salet,brick,dough,woozy,poppy,
gloss,4,salet,blush,floss,gloss,,
focus,3,salet,bison,focus,,,
canoe,4,salet,badge,farce,canoe,,
jazzy,6,salet,bacon,dairy,gawky,happy,jazzy
inbox,3,salet,brick,inbox,,,
tenth,4,salet,brute,deity,tenth,,
stint,4,salet,shift,skirt,stint,,
clued,3,salet,bluer,clued,,,
brink,3,salet,brick,brink,,,
exact,5,salet,adept,begat,enact,exact,
merge,5,salet,being,gecko,hedge,merge,
hippo,4,salet,brick,dingo,hippo,,
fling,3,salet,blimp,fling,,,
chess,3,salet,chose,chess,,,
gamer,4,salet,baker,caper,gamer,,
reuse,4,salet,chose,guise,reuse,,
banjo,3,salet,bacon,banjo,,,
baste,5,salet,caste,paste,waste,baste,
bosom,3,salet,bison,bosom,,,
satyr,2,salet,satyr,,,,
balmy,2,salet,balmy,,,,
saint,2,salet,saint,,,,
mirth,4,salet,birth,girth,mirth,,
bleak,3,salet,agile,bleak,,,
delve,4,salet,belch,felon,delve,,
avian,4,salet,adorn,again,avian,,
nurse,4,salet,chose,guise,nurse,,
charm,3,salet,adorn,charm,,,
cater,2,salet,cater,,,,
flirt,3,salet,blurt,flirt,,,
gland,3,salet,along,gland,,,
inter,2,salet,inter,,,,
panic,5,salet,bacon,candy,manic,panic,
dully,6,salet,filmy,bulky,pulpy,gully,dully
mummy,5,salet,brick,dough,jumpy,mummy,
demur,4,salet,being,decor,demur,,
ensue,4,salet,chose,issue,ensue,,
gayer,False,salet,baker,caper,wafer,gamer,gazer
parer,5,salet,baker,caper,payer,parer,
primo,4,salet,brick,grind,primo,,
sense,5,salet,scope,shire,segue,sense,
filmy,2,salet,filmy,,,,
attic,4,salet,actor,antic,attic,,
trace,3,salet,acute,trace,,,
cress,3,salet,chose,cress,,,
clout,4,salet,blurt,flout,clout,,
comfy,4,salet,brick,cough,comfy,,
fault,2,salet,fault,,,,
grade,3,salet,abide,grade,,,
dough,3,salet,brick,dough,,,
crawl,4,salet,along,brawl,crawl,,
dowry,5,salet,brick,horny,rowdy,dowry,
devil,3,salet,bloke,devil,,,
lynch,4,salet,blimp,could,lynch,,
pouty,4,salet,birth,junto,pouty,,
along,2,salet,along,,,,
growl,4,salet,blimp,could,growl,,
debug,3,salet,being,debug,,,
adapt,4,salet,abort,admit,adapt,,
label,3,salet,bagel,label,,,
melee,3,salet,golem,melee,,,
moral,6,salet,aloud,zonal,focal,royal,moral
short,3,salet,shift,short,,,
lathe,2,salet,lathe,,,,
dully,6,salet,gulch,bulky,pulpy,fully,dully
album,3,salet,aloud,album,,,
finer,4,salet,bicep,diner,finer,,
cable,2,salet,cable,,,,
scrub,4,salet,scion,scrum,scrub,,
butch,4,salet,birth,botch,butch,,
anvil,4,salet,aloud,amply,anvil,,
after,2,salet,after,,,,
aorta,3,salet,actor,aorta,,,
apply,4,salet,aloud,amply,apply,,
churn,4,salet,brick,chord,churn,,
frank,5,salet,adorn,crank,prank,frank,
foggy,4,salet,brick,howdy,foggy,,
spawn,5,salet,scamp,soapy,spank,spawn,
aorta,3,salet,actor,aorta,,,
inlay,3,salet,aglow,inlay,,,
derby,3,salet,being,derby,,,
grape,5,salet,abide,chafe,graze,grape,
along,3,salet,aloud,along,,,
begin,3,salet,being,begin,,,
ivory,3,salet,brick,ivory,,,
bloke,2,salet,bloke,,,,
lodge,4,salet,clerk,lemon,lodge,,
excel,5,salet,bluer,dowel,impel,excel,
comfy,4,salet,brick,cough,comfy,,
green,5,salet,bicep,dozen,hymen,green,
merry,5,salet,being,decor,jerky,merry,
fussy,5,salet,bison,mushy,dusky,fussy,
outgo,4,salet,birth,outdo,outgo,,
koala,5,salet,aloud,zonal,voila,koala,
aging,4,salet,adorn,aping,aging,,
debar,4,salet,abide,beard,debar,,
slyly,5,salet,scold,surly,shyly,slyly,
coast,3,salet,ascot,coast,,,
mealy,3,salet,agile,mealy,,,
storm,4,salet,sixth,stomp,storm,,
dusty,3,salet,gusto,dusty,,,
inter,3,salet,often,inter,,,
drift,3,salet,brunt,drift,,,
amaze,5,salet,abide,argue,awoke,amaze,
caddy,5,salet,bacon,magic,carry,caddy,
alarm,5,salet,aloud,align,alpha,alarm,
carat,3,salet,caput,carat,,,
brink,3,salet,brick,brink,,,
music,3,salet,bison,music,,,
randy,4,salet,bacon,handy,randy,,
mangy,4,salet,bacon,handy,mangy,,
pearl,4,salet,agile,leach,pearl,,
afoot,4,salet,abort,adopt,afoot,,
ruler,4,salet,golem,idler,ruler,,
bench,3,salet,being,bench,,,
album,3,salet,aloud,album,,,
expel,5,salet,bluer,dowel,impel,expel,
goose,4,salet,chose,prose,goose,,
audit,4,salet,abort,admit,audit,,
above,3,salet,abide,above,,,
group,5,salet,brick,frond,proxy,group,
juice,3,salet,being,juice,,,
caulk,3,salet,badly,caulk,,,
along,3,salet,aloud,along,,,
obese,4,salet,chose,noise,obese,,
guilt,3,salet,blurt,guilt,,,
liken,4,salet,bluer,dowel,liken,,
dummy,5,salet,brick,howdy,pudgy,dummy,
rhino,3,salet,brick,rhino,,,
catch,5,salet,batch,patch,watch,catch,
helix,3,salet,belch,helix,,,
petal,4,salet,fetal,metal,petal,,
ether,4,salet,often,threw,ether,,
lucky,4,salet,blimp,could,lucky,,
froth,3,salet,birth,froth,,,
dowdy,4,salet,brick,howdy,dowdy,,
optic,4,salet,birth,motif,optic,,
raven,4,salet,baker,harem,raven,,
noisy,3,salet,bison,noisy,,,
pizza,4,salet,adorn,champ,pizza,,
brash,4,salet,arson,crash,brash,,
snail,4,salet,scald,shawl,snail,,
chick,4,salet,brick,quick,chick,,
aside,3,salet,abuse,aside,,,
china,3,salet,adorn,china,,,
butte,3,salet,brute,butte,,,
felon,3,salet,belch,felon,,,
idyll,4,salet,blimp,girly,idyll,,
aider,4,salet,amber,anger,aider,,
madam,4,salet,bacon,dairy,madam,,
nanny,6,salet,bacon,handy,mangy,fanny,nanny
thrum,4,salet,birth,throw,thrum,,
gummy,5,salet,brick,howdy,jumpy,gummy,
image,3,salet,abide,image,,,
prior,6,salet,brick,grind,privy,primo,prior
query,4,salet,being,coupe,query,,
quasi,4,salet,arson,chasm,quasi,,
leery,3,salet,clerk,leery,,,
surer,4,salet,screw,siren,surer,,
showy,3,salet,scion,showy,,,
gaudy,4,salet,bacon,dairy,gaudy,,
merit,3,salet,befit,merit,,,
pasta,3,salet,nasty,pasta,,,
mucky,3,salet,brick,mucky,,,
annex,3,salet,amber,annex,,,
covey,5,salet,bicep,coven,cover,covey,
adore,3,salet,abide,adore,,,
lemon,3,salet,clerk,lemon,,,
carat,3,salet,caput,carat,,,
gorge,4,salet,being,fudge,gorge,,
nanny,6,salet,bacon,handy,mangy,fanny,nanny
lanky,3,salet,badly,lanky,,,
erupt,4,salet,befit,crept,erupt,,
flare,5,salet,agile,blade,flake,flare,
grace,4,salet,abide,chafe,grace,,
sloop,4,salet,scold,spoil,sloop,,
liver,4,salet,bluer,liner,liver,,
clout,4,salet,blurt,flout,clout,,
ditto,4,salet,birth,minty,ditto,,
scarf,3,salet,scamp,scarf,,,
could,3,salet,blimp,could,,,
beefy,4,salet,being,berry,beefy,,
drank,4,salet,adorn,brand,drank,,
adept,2,salet,adept,,,,
afoot,4,salet,abort,adopt,afoot,,
boxer,3,salet,bicep,boxer,,,
allot,2,salet,allot,,,,
gulch,2,salet,gulch,,,,
clone,3,salet,clerk,clone,,,
brick,2,salet,brick,,,,
magic,3,salet,bacon,magic,,,
cynic,4,salet,bunch,ionic,cynic,,
smoke,4,salet,scope,shone,smoke,,
ralph,2,salet,ralph,,,,
blame,4,salet,agile,blade,blame,,
cable,3,salet,lance,cable,,,
leant,4,salet,bleat,dealt,leant,,
sedan,3,salet,scare,sedan,,,
rough,3,salet,bunch,rough,,,
groin,4,salet,bunch,drink,groin,,
evict,4,salet,befit,edict,evict,,
easel,2,salet,easel,,,,
graft,4,salet,abort,draft,graft,,
ardor,3,salet,adorn,ardor,,,
locus,4,salet,blush,lupus,locus,,
admin,3,salet,adorn,admin,,,
ember,4,salet,bicep,embed,ember,,
loser,2,salet,loser,,,,
ratty,6,salet,batch,datum,patio,fatty,ratty
blink,4,salet,blimp,blind,blink,,
jumpy,5,salet,bunch,quirk,pudgy,jumpy,
crate,3,salet,acute,crate,,,
adapt,4,salet,abort,admit,adapt,,
blush,2,salet,blush,,,,
cheap,3,salet,abide,cheap,,,
cameo,3,salet,baker,cameo,,,
armor,4,salet,adorn,abhor,armor,,
crepe,4,salet,being,coupe,crepe,,
amply,3,salet,aloud,amply,,,
abyss,3,salet,arson,abyss,,,
cream,4,salet,abide,creak,cream,,
audio,3,salet,adorn,audio,,,
chase,3,salet,abuse,chase,,,
heart,3,salet,agent,heart,,,
quota,3,salet,actor,quota,,,
given,4,salet,bicep,diner,given,,
midge,3,salet,being,midge,,,
feral,4,salet,agile,leach,feral,,
leaky,5,salet,agile,leach,leafy,leaky,
flyer,4,salet,bluer,flier,flyer,,
drank,4,salet,adorn,brand,drank,,
filet,2,salet,filet,,,,
scary,3,salet,scamp,scary,,,
faith,3,salet,batch,faith,,,
hotly,3,salet,blitz,hotly,,,
dowel,3,salet,bluer,dowel,,,
store,5,salet,smite,stoke,stone,store,
lunch,4,salet,blimp,curly,lunch,,
pygmy,4,salet,bunch,vigor,pygmy,,
booby,5,salet,bunch,brood,boozy,booby,
brook,5,salet,bunch,brood,broom,brook,
panic,5,salet,bacon,candy,manic,panic,
broad,3,salet,adorn,broad,,,
climb,3,salet,blimp,climb,,,
brine,3,salet,being,brine,,,
ascot,2,salet,ascot,,,,
coral,5,salet,aloud,zonal,focal,coral,
reign,5,salet,being,neigh,feign,reign,
beard,3,salet,abide,beard,,,
valet,2,salet,valet,,,,
actor,2,salet,actor,,,,
sling,4,salet,scold,slimy,sling,,
cross,4,salet,bison,focus,cross,,
fetch,4,salet,brute,ethic,fetch,,
crate,3,salet,acute,crate,,,
boost,4,salet,crust,foist,boost,,
awful,3,salet,aloud,awful,,,
burly,3,salet,blimp,burly,,,
crook,5,salet,bunch,crimp,crowd,crook,
hotly,4,salet,blitz,truly,hotly,,
bathe,2,salet,bathe,,,,
forty,3,salet,birth,forty,,,
moult,3,salet,blurt,moult,,,
jaunt,5,salet,caput,daunt,gaunt,jaunt,
befit,2,salet,befit,,,,
marsh,3,salet,basic,marsh,,,
alarm,5,salet,aloud,align,alpha,alarm,
ghost,4,salet,crust,foist,ghost,,
cacao,4,salet,bacon,macho,cacao,,
afoot,4,salet,abort,adopt,afoot,,
grill,6,salet,blimp,child,quill,frill,grill
issue,3,salet,chose,issue,,,
gloat,3,salet,aloft,gloat,,,
ditch,3,salet,birth,ditch,,,
cairn,3,salet,bacon,cairn,,,
pasty,3,salet,nasty,pasty,,,
agora,3,salet,adorn,agora,,,
undue,4,salet,being,dunce,undue,,
mange,3,salet,badge,mange,,,
fuzzy,5,salet,bunch,quirk,pudgy,fuzzy,
bluff,5,salet,blimp,block,blurb,bluff,
endow,4,salet,being,dunce,endow,,
skimp,4,salet,scion,shirk,skimp,,
chair,4,salet,adorn,graph,chair,,
mucus,4,salet,bison,crush,mucus,,
ruler,4,salet,golem,idler,ruler,,
raspy,4,salet,basic,mason,raspy,,
avert,4,salet,agent,adept,avert,,
flank,4,salet,aloud,flack,flank,,
champ,3,salet,adorn,champ,,,
poise,4,salet,chose,noise,poise,,
aging,4,salet,adorn,aping,aging,,
agape,4,salet,abide,argue,agape,,
alarm,5,salet,aloud,align,alpha,alarm,
kneed,5,salet,bicep,dozen,under,kneed,
study,5,salet,sixth,stomp,stuck,study,
froth,3,salet,birth,froth,,,
idler,3,salet,golem,idler,,,
grind,4,salet,bunch,drink,grind,,
mount,4,salet,brunt,count,mount,,
large,3,salet,lance,large,,,
pagan,3,salet,bacon,pagan,,,
plush,3,salet,flush,plush,,,
grunt,3,salet,brunt,grunt,,,
fault,3,salet,vault,fault,,,
craze,5,salet,abide,chafe,crane,craze,
essay,3,salet,abuse,essay,,,
reedy,4,salet,being,decor,reedy,,
slink,4,salet,scold,slimy,slink,,
lurch,4,salet,blimp,curly,lurch,,
bloom,3,salet,blimp,bloom,,,
tribe,3,salet,brute,tribe,,,
catch,6,salet,batch,patch,watch,match,catch
altar,3,salet,aptly,altar,,,
atoll,3,salet,aptly,atoll,,,
cutie,3,salet,brute,cutie,,,
leery,3,salet,clerk,leery,,,
slurp,5,salet,scold,slimy,slung,slurp,
pouch,3,salet,bunch,pouch,,,
axiom,3,salet,adorn,axiom,,,
query,4,salet,being,coupe,query,,
dally,3,salet,valid,dally,,,
gnome,3,salet,being,gnome,,,
abode,3,salet,abide,abode,,,
crowd,4,salet,bunch,crimp,crowd,,
groom,4,salet,bunch,vigor,groom,,
fiend,3,salet,being,fiend,,,
amble,4,salet,agile,ample,amble,,
guava,4,salet,adorn,quack,guava,,
genre,3,salet,being,genre,,,
smoky,3,salet,scion,smoky,,,
leech,3,salet,clerk,leech,,,
scarf,3,salet,scamp,scarf,,,
idyll,4,salet,blimp,girly,idyll,,
shoot,5,salet,shift,shout,short,shoot,
newer,5,salet,bicep,dozen,never,newer,
easel,2,salet,easel,,,,
drone,5,salet,being,prune,crone,drone,
salty,2,salet,salty,,,,
grope,4,salet,being,fudge,grope,,
nylon,3,salet,milky,nylon,,,
grass,5,salet,arson,crash,grasp,grass,
grand,4,salet,adorn,brand,grand,,
cinch,6,salet,bunch,finch,pinch,winch,cinch
admin,3,salet,adorn,admin,,,
biddy,4,salet,bunch,brood,biddy,,
bride,3,salet,being,bride,,,
dense,4,salet,chose,guise,dense,,
jerky,4,salet,being,decor,jerky,,
offer,4,salet,bicep,dozen,offer,,
aider,4,salet,amber,anger,aider,,
pithy,3,salet,birth,pithy,,,
midst,4,salet,crust,foist,midst,,
coven,3,salet,bicep,coven,,,
field,3,salet,clerk,field,,,
billy,False,salet,milky,dilly,filly,hilly,willy
bench,3,salet,being,bench,,,
hasty,3,salet,nasty,hasty,,,
apron,3,salet,adorn,apron,,,
budge,3,salet,being,budge,,,
spoke,3,salet,scope,spoke,,,
audio,3,salet,adorn,audio,,,
gassy,5,salet,basic,mason,raspy,gassy,
poser,3,salet,usher,poser,,,
fizzy,6,salet,bunch,vigor,wimpy,dizzy,fizzy
scrap,3,salet,scamp,scrap,,,
egret,5,salet,comet,quiet,beget,egret,
guest,3,salet,chest,guest,,,
rehab,4,salet,abide,break,rehab,,
agree,3,salet,amber,agree,,,
inert,3,salet,debit,inert,,,
crude,4,salet,being,coupe,crude,,
adapt,4,salet,abort,admit,adapt,,
parse,3,salet,pause,parse,,,
ingot,3,salet,brunt,ingot,,,
amass,5,salet,arson,abyss,amiss,amass,
chafe,3,salet,abide,chafe,,,
cable,3,salet,lance,cable,,,
magic,4,salet,bacon,march,magic,,
puffy,5,salet,bunch,quirk,pudgy,puffy,
ethos,2,salet,ethos,,,,
bluff,5,salet,blimp,block,blurb,bluff,
hence,5,salet,being,demon,wench,hence,
blown,5,salet,blimp,block,blond,blown,
elide,4,salet,clerk,elfin,elide,,
booze,4,salet,being,broke,booze,,
elope,5,salet,clerk,elfin,elbow,elope,
below,3,salet,belch,below,,,
cleat,3,salet,bleat,cleat,,,
shawl,3,salet,scald,shawl,,,
large,3,salet,lance,large,,,
fault,3,salet,vault,fault,,,
privy,4,salet,bunch,vigor,privy,,
burnt,3,salet,brunt,burnt,,,
lingo,4,salet,blimp,girly,lingo,,
drone,5,salet,being,prune,crone,drone,
anvil,4,salet,aloud,amply,anvil,,
annex,4,salet,amber,apnea,annex,,
haute,3,salet,earth,haute,,,
paint,3,salet,caput,paint,,,
drank,4,salet,adorn,brand,drank,,
flier,3,salet,bluer,flier,,,
mafia,5,salet,bacon,dairy,maxim,mafia,
laugh,4,salet,badly,cavil,laugh,,
coast,6,salet,angst,roast,boast,toast,coast
bugle,4,salet,clerk,noble,bugle,,
civic,4,salet,bunch,crimp,civic,,
icily,4,salet,blimp,child,icily,,
birth,2,salet,birth,,,,
attic,4,salet,amity,antic,attic,,
husky,4,salet,bison,mushy,husky,,
float,3,salet,aloft,float,,,
ankle,4,salet,agile,ample,ankle,,
bowel,3,salet,bluer,bowel,,,
slosh,4,salet,scold,spoil,slosh,,
flair,4,salet,aloud,flack,flair,,
glade,3,salet,agile,glade,,,
ionic,3,salet,bunch,ionic,,,
melee,3,salet,golem,melee,,,
patty,5,salet,batch,datum,patio,patty,
adore,3,salet,abide,adore,,,
dusty,3,salet,gusto,dusty,,,
gaily,3,salet,badly,gaily,,,
datum,3,salet,batch,datum,,,
taffy,5,salet,batch,party,tangy,taffy,
caddy,4,salet,bacon,march,caddy,,
fable,4,salet,lance,maple,fable,,
gassy,5,salet,basic,mason,raspy,gassy,
metro,4,salet,brute,entry,metro,,
chill,5,salet,blimp,child,chili,chill,
canal,5,salet,badly,cavil,carol,canal,
along,3,salet,aloud,along,,,
touch,4,salet,dirty,notch,touch,,
verse,4,salet,chose,guise,verse,,
nadir,4,salet,bacon,handy,nadir,,
delay,2,salet,delay,,,,
inlay,3,salet,aglow,inlay,,,
drawl,3,salet,aloud,drawl,,,
shoot,5,salet,shift,shout,short,shoot,
focal,4,salet,aloud,zonal,focal,,
aorta,3,salet,amity,aorta,,,
color,5,salet,milky,gulch,colon,color,
coven,4,salet,bicep,cower,coven,,
piano,3,salet,adorn,piano,,,
lupus,3,salet,flush,lupus,,,
fence,5,salet,being,demon,wench,fence,
horny,4,salet,bunch,whiny,horny,,
ovary,4,salet,adorn,cobra,ovary,,
gamer,5,salet,baker,caper,wafer,gamer,
saute,2,salet,saute,,,,
snake,5,salet,scare,shade,suave,snake,
macro,4,salet,bacon,macho,macro,,
panel,5,salet,bagel,hazel,navel,panel,
posse,5,salet,chose,noise,rouse,posse,
irate,4,salet,acute,grate,irate,,
dried,5,salet,bicep,grief,drier,dried,
mania,5,salet,bacon,handy,manga,mania,
